AÑO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;MRUN;CLAVE;DOC_GENERO;NIVEL;SUBSECT;AE_PJE;EP_PJE;IRT_PJE;PF_PJE;PF_ESC;INSTR_PJE;CCE_ESC
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;19661133;EC1965905421;2;3;M;4;4;3;2,9;C;3,24;D
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;17745232;EG1685999921;2;2;G;4;3;3;2,2;B;2,62;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;15555909;FF1452918223;2;2;G;4;4;4;2,36;B;3,02;D
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;22877089;GE1911398621;2;5;DEA;4;4;4;2,83;C;3,3;D
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;9899269;II1662604021;2;2;G;4;3;3;2,25;B;2,65;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;21002496;IJ1402774221;2;3;I;4;3;3;2,95;C;3,07;D
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;22624020;OM1993094921;2;5;DEA;4;4;3;2,1;B;2,76;C
2018;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;22143010;RS1981072711;1;3;CS;3;3;3;2,16;B;2,5;C
2018;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;2;1;0;12525510;AA1015633825;2;3;L;4;3;3;2,25;B;2,65;C
2018;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;2;1;0;17618915;II1864270521;2;2;G;4;2;3;2,53;C;2,62;C
2018;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;2;1;0;6108376;MK1801103921;2;3;CS;4;2;4;2,45;B;2,67;C
2018;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;14643722;CC1093572821;2;2;G;4;3;4;2,4;B;2,84;C
2018;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;5004571;GF1227623721;2;3;AV;4;2;3;2,23;B;2,44;C
2018;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;17079277;HG1857521721;2;5;DEA;4;2;3;2,4;B;2,54;C
2018;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;13688198;MO1619327011;1;3;EF;4;3;4;2;B;2,6;C
2018;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;23021999;QS1880278121;2;3;EF;4;3;3;2,3;B;2,68;C
2018;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;2;1;0;15561678;DE1020236521;2;5;DEA;4;4;3;2,15;B;2,79;C
2018;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;2;1;0;5070282;KI1548891821;2;2;G;4;4;3;2,55;C;3,03;D
2018;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;2;1;0;18962927;QO1690561721;2;3;M;4;3;4;2,83;C;3,1;D
